날짜,측정소명,측정소코드,PM10,PM2.5
2023-03-17 17,강남구,111261,28,12
2023-03-17 18,강남구,111261,35,14
2023-03-17 19,강남구,111261,38,14
2023-03-17 20,강남구,111261,31,14
2023-03-17 21,강남구,111261,38,17
2023-03-17 22,강남구,111261,38,18
2023-03-17 23,강남구,111261,45,20
2023-03-17 24,강남구,111261,44,21
2023-03-18 01,강남구,111261,50,23
2023-03-18 02,강남구,111261,53,25
2023-03-18 03,강남구,111261,61,30
2023-03-18 04,강남구,111261,61,30
2023-03-18 05,강남구,111261,61,30
2023-03-18 06,강남구,111261,54,26
2023-03-18 07,강남구,111261,56,25
2023-03-18 08,강남구,111261,50,22
2023-03-18 09,강남구,111261,51,24
2023-03-18 10,강남구,111261,54,23
2023-03-18 11,강남구,111261,57,23
2023-03-18 12,강남구,111261,52,22
2023-03-18 13,강남구,111261,48,19
2023-03-18 14,강남구,111261,44,19
2023-03-18 15,강남구,111261,43,14
2023-03-18 16,강남구,111261,44,15
2023-03-18 17,강남구,111261,65,24
2023-03-18 18,강남구,111261,67,24
2023-03-18 19,강남구,111261,72,25
2023-03-18 20,강남구,111261,58,23
2023-03-18 21,강남구,111261,65,27
2023-03-18 22,강남구,111261,70,33
2023-03-18 23,강남구,111261,82,40
2023-03-18 24,강남구,111261,85,45
2023-03-19 01,강남구,111261,92,48
2023-03-19 02,강남구,111261,90,49
2023-03-19 03,강남구,111261,96,52
2023-03-19 04,강남구,111261,93,51
2023-03-19 05,강남구,111261,96,54
2023-03-19 06,강남구,111261,88,48
2023-03-19 07,강남구,111261,83,46
2023-03-19 08,강남구,111261,80,44
2023-03-19 09,강남구,111261,79,46
2023-03-19 10,강남구,111261,79,43
2023-03-19 11,강남구,111261,79,42
2023-03-19 12,강남구,111261,85,45
2023-03-19 13,강남구,111261,88,43
2023-03-19 14,강남구,111261,84,42
2023-03-19 15,강남구,111261,88,43
2023-03-19 16,강남구,111261,83,45
2023-03-19 17,강남구,111261,83,46
2023-03-19 18,강남구,111261,76,41
2023-03-19 19,강남구,111261,92,51
2023-03-19 20,강남구,111261,92,53
2023-03-19 21,강남구,111261,102,61
2023-03-19 22,강남구,111261,96,58
2023-03-19 23,강남구,111261,110,61
2023-03-19 24,강남구,111261,116,70
2023-03-20 01,강남구,111261,138,89
2023-03-20 02,강남구,111261,119,80
2023-03-20 03,강남구,111261,92,64
2023-03-20 04,강남구,111261,78,48
2023-03-20 05,강남구,111261,77,52
2023-03-20 06,강남구,111261,78,49
2023-03-20 07,강남구,111261,92,57
2023-03-20 08,강남구,111261,86,54
2023-03-20 09,강남구,111261,101,61
2023-03-20 10,강남구,111261,107,63
2023-03-20 11,강남구,111261,111,68
2023-03-20 12,강남구,111261,101,59
2023-03-20 13,강남구,111261,97,56
2023-03-20 14,강남구,111261,60,33
2023-03-20 15,강남구,111261,62,36
2023-03-20 16,강남구,111261,67,39
2023-03-20 17,강남구,111261,77,47
2023-03-20 18,강남구,111261,68,41
2023-03-20 19,강남구,111261,59,35
2023-03-20 20,강남구,111261,49,25
2023-03-20 21,강남구,111261,52,25
2023-03-20 22,강남구,111261,51,24
2023-03-20 23,강남구,111261,58,27
2023-03-20 24,강남구,111261,52,26
2023-03-21 01,강남구,111261,59,28
2023-03-21 02,강남구,111261,56,26
2023-03-21 03,강남구,111261,65,33
2023-03-21 04,강남구,111261,60,31
2023-03-21 05,강남구,111261,61,32
2023-03-21 06,강남구,111261,55,31
2023-03-21 07,강남구,111261,53,30
2023-03-21 08,강남구,111261,52,29
2023-03-21 09,강남구,111261,61,31
2023-03-21 10,강남구,111261,69,34
2023-03-21 11,강남구,111261,72,38
2023-03-21 12,강남구,111261,59,33
2023-03-21 13,강남구,111261,58,31
2023-03-21 14,강남구,111261,51,27
2023-03-21 15,강남구,111261,49,25
2023-03-21 16,강남구,111261,51,26
2023-03-21 17,강남구,111261,53,27
2023-03-21 18,강남구,111261,58,30
2023-03-21 19,강남구,111261,91,49
2023-03-21 20,강남구,111261,83,44
2023-03-21 21,강남구,111261,77,40
2023-03-21 22,강남구,111261,69,38
2023-03-21 23,강남구,111261,76,43
2023-03-21 24,강남구,111261,77,42
2023-03-22 01,강남구,111261,92,46
2023-03-22 02,강남구,111261,78,40
2023-03-22 03,강남구,111261,78,41
2023-03-22 04,강남구,111261,72,39
2023-03-22 05,강남구,111261,73,41
2023-03-22 06,강남구,111261,69,37
2023-03-22 07,강남구,111261,62,33
2023-03-22 08,강남구,111261,59,31
2023-03-22 09,강남구,111261,64,35
2023-03-22 10,강남구,111261,67,31
2023-03-22 11,강남구,111261,80,39
2023-03-22 12,강남구,111261,75,35
2023-03-22 13,강남구,111261,76,38
2023-03-22 14,강남구,111261,64,29
2023-03-22 15,강남구,111261,70,31
2023-03-22 16,강남구,111261,61,27
2023-03-22 17,강남구,111261,58,28
2023-03-22 18,강남구,111261,52,25
2023-03-22 19,강남구,111261,72,37
2023-03-22 20,강남구,111261,42,17
2023-03-22 21,강남구,111261,36,16
2023-03-22 22,강남구,111261,47,22
2023-03-22 23,강남구,111261,58,27
2023-03-22 24,강남구,111261,59,26
2023-03-23 01,강남구,111261,56,24
2023-03-23 02,강남구,111261,53,24
2023-03-23 03,강남구,111261,57,25
2023-03-23 04,강남구,111261,46,22
2023-03-23 05,강남구,111261,42,20
2023-03-23 06,강남구,111261,40,19
2023-03-23 07,강남구,111261,48,23
2023-03-23 08,강남구,111261,43,21
2023-03-23 09,강남구,111261,41,18
2023-03-23 10,강남구,111261,44,20
2023-03-23 11,강남구,111261,47,20
2023-03-23 12,강남구,111261,42,18
2023-03-23 13,강남구,111261,45,20
2023-03-23 14,강남구,111261,49,22
2023-03-23 15,강남구,111261,54,24
2023-03-23 16,강남구,111261,52,21
2023-03-23 17,강남구,111261,93,28
2023-03-23 18,강남구,111261,185,37
2023-03-23 19,강남구,111261,259,41
2023-03-23 20,강남구,111261,301,39
2023-03-23 21,강남구,111261,292,35
2023-03-23 22,강남구,111261,244,29
2023-03-23 23,강남구,111261,217,27
2023-03-23 24,강남구,111261,184,23
2023-03-24 01,강남구,111261,167,21
2023-03-24 02,강남구,111261,142,17
2023-03-24 03,강남구,111261,136,18
2023-03-24 04,강남구,111261,125,16
2023-03-24 05,강남구,111261,123,15
2023-03-24 06,강남구,111261,122,16
2023-03-24 07,강남구,111261,123,16
2023-03-24 08,강남구,111261,120,16
2023-03-24 09,강남구,111261,114,18
2023-03-24 10,강남구,111261,112,17
2023-03-24 11,강남구,111261,114,16
2023-03-24 12,강남구,111261,118,17
2023-03-24 13,강남구,111261,134,19
2023-03-24 14,강남구,111261,136,22
2023-03-24 15,강남구,111261,142,26
2023-03-24 16,강남구,111261,136,26
2023-03-24 17,강남구,111261,135,25
2023-03-24 18,강남구,111261,131,25
2023-03-24 19,강남구,111261,137,25
2023-03-24 20,강남구,111261,126,25
2023-03-24 21,강남구,111261,125,28
2023-03-24 22,강남구,111261,120,24
2023-03-24 23,강남구,111261,119,25
2023-03-24 24,강남구,111261,113,24
2023-03-25 01,강남구,111261,115,26
2023-03-25 02,강남구,111261,103,23
