날짜,측정소명,측정소코드,PM10,PM2.5
2023-03-24 01,중구,111121,173,21
2023-03-24 02,중구,111121,145,18
2023-03-24 03,중구,111121,135,18
2023-03-24 04,중구,111121,129,18
2023-03-24 05,중구,111121,127,20
2023-03-24 06,중구,111121,121,18
2023-03-24 07,중구,111121,118,16
2023-03-24 08,중구,111121,110,16
2023-03-24 09,중구,111121,105,16
2023-03-24 10,중구,111121,101,16
2023-03-24 11,중구,111121,106,16
2023-03-24 12,중구,111121,105,17
2023-03-24 13,중구,111121,113,20
2023-03-24 14,중구,111121,119,24
2023-03-24 15,중구,111121,124,29
2023-03-24 16,중구,111121,124,27
2023-03-24 17,중구,111121,127,31
2023-03-24 18,중구,111121,123,25
2023-03-24 19,중구,111121,122,23
2023-03-24 20,중구,111121,117,25
2023-03-24 21,중구,111121,116,26
2023-03-24 22,중구,111121,111,25
2023-03-24 23,중구,111121,112,29
2023-03-24 24,중구,111121,107,28
2023-03-25 01,중구,111121,105,30
2023-03-25 02,중구,111121,100,26
2023-03-25 03,중구,111121,89,21
2023-03-25 04,중구,111121,77,20
2023-03-25 05,중구,111121,66,18
2023-03-25 06,중구,111121,59,14
2023-03-25 07,중구,111121,54,13
2023-03-25 08,중구,111121,51,12
2023-03-25 09,중구,111121,51,12
2023-03-25 10,중구,111121,51,9
2023-03-25 11,중구,111121,66,11
2023-03-25 12,중구,111121,96,21
2023-03-25 13,중구,111121,110,23
2023-03-25 14,중구,111121,104,25
2023-03-25 15,중구,111121,105,26
2023-03-25 16,중구,111121,102,25
2023-03-25 17,중구,111121,108,35
2023-03-25 18,중구,111121,102,34
2023-03-25 19,중구,111121,105,34
2023-03-25 20,중구,111121,101,31
2023-03-25 21,중구,111121,106,33
2023-03-25 22,중구,111121,104,33
2023-03-25 23,중구,111121,109,38
2023-03-25 24,중구,111121,106,32
2023-03-26 01,중구,111121,108,35
2023-03-26 02,중구,111121,97,33
2023-03-26 03,중구,111121,95,35
2023-03-26 04,중구,111121,84,26
2023-03-26 05,중구,111121,72,19
2023-03-26 06,중구,111121,64,16
2023-03-26 07,중구,111121,61,15
2023-03-26 08,중구,111121,55,16
2023-03-26 09,중구,111121,56,18
2023-03-26 10,중구,111121,57,15
2023-03-26 11,중구,111121,58,13
2023-03-26 12,중구,111121,43,10
2023-03-26 13,중구,111121,36,9
2023-03-26 14,중구,111121,42,11
2023-03-26 15,중구,111121,38,9
2023-03-26 16,중구,111121,37,7
2023-03-26 17,중구,111121,39,6
2023-03-26 18,중구,111121,31,3
2023-03-26 19,중구,111121,38,5
2023-03-26 20,중구,111121,32,6
2023-03-26 21,중구,111121,30,5
2023-03-26 22,중구,111121,27,8
2023-03-26 23,중구,111121,30,11
2023-03-26 24,중구,111121,32,14
2023-03-27 01,중구,111121,37,16
2023-03-27 02,중구,111121,33,15
2023-03-27 03,중구,111121,35,16
2023-03-27 04,중구,111121,34,16
2023-03-27 05,중구,111121,34,16
2023-03-27 06,중구,111121,33,16
2023-03-27 07,중구,111121,37,19
2023-03-27 08,중구,111121,36,16
2023-03-27 09,중구,111121,39,21
2023-03-27 10,중구,111121,40,18
2023-03-27 11,중구,111121,52,23
2023-03-27 12,중구,111121,48,25
2023-03-27 13,중구,111121,47,25
2023-03-27 14,중구,111121,49,26
2023-03-27 15,중구,111121,51,28
2023-03-27 16,중구,111121,44,23
2023-03-27 17,중구,111121,53,28
2023-03-27 18,중구,111121,52,23
2023-03-27 19,중구,111121,46,21
2023-03-27 20,중구,111121,47,22
2023-03-27 21,중구,111121,41,19
2023-03-27 22,중구,111121,37,16
2023-03-27 23,중구,111121,39,17
2023-03-27 24,중구,111121,38,17
2023-03-28 01,중구,111121,43,19
2023-03-28 02,중구,111121,46,26
2023-03-28 03,중구,111121,45,27
2023-03-28 04,중구,111121,49,31
2023-03-28 05,중구,111121,49,33
2023-03-28 06,중구,111121,44,26
2023-03-28 07,중구,111121,51,31
2023-03-28 08,중구,111121,53,30
2023-03-28 09,중구,111121,61,36
2023-03-28 10,중구,111121,63,35
2023-03-28 11,중구,111121,75,38
2023-03-28 12,중구,111121,61,32
2023-03-28 13,중구,111121,61,28
2023-03-28 14,중구,111121,54,24
2023-03-28 15,중구,111121,58,24
2023-03-28 16,중구,111121,64,26
2023-03-28 17,중구,111121,74,29
2023-03-28 18,중구,111121,75,26
2023-03-28 19,중구,111121,72,27
2023-03-28 20,중구,111121,72,28
2023-03-28 21,중구,111121,72,30
2023-03-28 22,중구,111121,61,28
2023-03-28 23,중구,111121,63,30
2023-03-28 24,중구,111121,65,31
2023-03-29 01,중구,111121,71,39
2023-03-29 02,중구,111121,72,35
2023-03-29 03,중구,111121,71,35
2023-03-29 04,중구,111121,67,36
2023-03-29 05,중구,111121,70,39
2023-03-29 06,중구,111121,70,39
2023-03-29 07,중구,111121,74,43
2023-03-29 08,중구,111121,75,42
2023-03-29 09,중구,111121,82,50
2023-03-29 10,중구,111121,94,55
2023-03-29 11,중구,111121,101,57
2023-03-29 12,중구,111121,95,52
2023-03-29 13,중구,111121,82,43
2023-03-29 14,중구,111121,73,37
2023-03-29 15,중구,111121,85,43
2023-03-29 16,중구,111121,78,40
2023-03-29 17,중구,111121,53,22
2023-03-29 18,중구,111121,43,15
2023-03-29 19,중구,111121,61,27
2023-03-29 20,중구,111121,50,20
2023-03-29 21,중구,111121,46,20
2023-03-29 22,중구,111121,67,38
2023-03-29 23,중구,111121,77,48
2023-03-29 24,중구,111121,80,51
2023-03-30 01,중구,111121,84,54
2023-03-30 02,중구,111121,75,48
2023-03-30 03,중구,111121,81,55
2023-03-30 04,중구,111121,80,52
2023-03-30 05,중구,111121,75,51
2023-03-30 06,중구,111121,64,43
2023-03-30 07,중구,111121,62,39
2023-03-30 08,중구,111121,56,34
2023-03-30 09,중구,111121,59,36
2023-03-30 10,중구,111121,58,34
2023-03-30 11,중구,111121,72,42
2023-03-30 12,중구,111121,85,47
2023-03-30 13,중구,111121,88,49
2023-03-30 14,중구,111121,77,41
2023-03-30 15,중구,111121,65,33
2023-03-30 16,중구,111121,61,28
2023-03-30 17,중구,111121,69,32
2023-03-30 18,중구,111121,57,24
2023-03-30 19,중구,111121,60,23
2023-03-30 20,중구,111121,80,39
2023-03-30 21,중구,111121,99,48
2023-03-30 22,중구,111121,103,51
2023-03-30 23,중구,111121,111,57
2023-03-30 24,중구,111121,101,55
2023-03-31 01,중구,111121,109,57
2023-03-31 02,중구,111121,103,58
2023-03-31 03,중구,111121,108,56
2023-03-31 04,중구,111121,93,51
2023-03-31 05,중구,111121,87,48
2023-03-31 06,중구,111121,86,46
2023-03-31 07,중구,111121,86,49
2023-03-31 08,중구,111121,84,45
2023-03-31 09,중구,111121,89,44
2023-03-31 10,중구,111121,93,46
2023-03-31 11,중구,111121,88,43
2023-03-31 12,중구,111121,85,44
2023-03-31 13,중구,111121,100,51
